id;date;titre;url;source_nom;theme
60;08/03/2025;The State of LLM Reasoning Model Inference;https://magazine.sebastianraschka.com/p/state-of-llm-reasoning-and-inference-scaling;Ahead of AI;IA
59;05/02/2025;Understanding Reasoning LLMs;https://magazine.sebastianraschka.com/p/understanding-reasoning-llms;Ahead of AI;IA
58;29/03/2025;First Look at Reasoning From Scratch: Chapter 1;https://magazine.sebastianraschka.com/p/first-look-at-reasoning-from-scratch;Ahead of AI;IA
57;01/07/2025;LLM Research Papers: The 2025 List January to June;https://magazine.sebastianraschka.com/p/llm-research-papers-2025-list-one;Ahead of AI;IA
56;19/07/2025;The Big LLM Architecture Comparison;https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison;Ahead of AI;IA
55;10/05/2025;Coding LLMs from the Ground Up: A Complete Course;https://magazine.sebastianraschka.com/p/coding-llms-from-the-ground-up;Ahead of AI;IA
54;17/06/2025;Understanding and Coding the KV Cache in LLMs from Scratch;https://magazine.sebastianraschka.com/p/coding-the-kv-cache-in-llms;Ahead of AI;IA
53;09/08/2025;From GPT-2 to gpt-oss: Analyzing the Architectural Advances;https://magazine.sebastianraschka.com/p/from-gpt-2-to-gpt-oss-analyzing-the;Ahead of AI;IA
52;06/09/2025;Understanding and Implementing Qwen3 From Scratch;https://magazine.sebastianraschka.com/p/qwen3-from-scratch;Ahead of AI;IA
51;05/10/2025;Understanding the 4 Main Approaches to LLM Evaluation From Scratch;https://magazine.sebastianraschka.com/p/llm-evaluation-4-approaches;Ahead of AI;IA
50;04/11/2025;Beyond Standard LLMs;https://magazine.sebastianraschka.com/p/beyond-standard-llms;Ahead of AI;IA
49;22/10/2025;OpenAI lance son navigateur web ChatGPT Atlas;https://avenuedelia.com/fr/actu/openai-lance-son-navigateur-web-chatgpt-atlas/;Avenue de l'IA;IA
48;09/05/2025;Fidji Simo nommee a la tete de ChatGPT : une Francaise au cur de la revolution OpenAI;https://avenuedelia.com/fr/actu/fidji-simo-nommee-a-la-tete-de-chatgpt-une-francaise-au-cur-de-la-revolution-openai/;Avenue de l'IA;IA
47;03/12/2025;From DeepSeek V3 to V3.2: Architecture, Sparse Attention, and RL Updates;https://magazine.sebastianraschka.com/p/technical-deepseek;Ahead of AI;Autre
46;30/12/2025;LLM Research Papers: The 2025 List July to December;https://magazine.sebastianraschka.com/p/llm-research-papers-2025-part2;Ahead of AI;IA
45;30/12/2025;The State Of LLMs 2025: Progress, Problems, and Predictions;https://magazine.sebastianraschka.com/p/state-of-llms-2025;Ahead of AI;IA
44;24/01/2026;Categories of Inference-Time Scaling for Improved LLM Reasoning;https://magazine.sebastianraschka.com/p/categories-of-inference-time-scaling;Ahead of AI;IA
43;25/02/2026;A Dream of Spring for Open-Weight LLMs: 10 Architectures from Jan-Feb 2026;https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight;Ahead of AI;IA
42;20/10/2025;Claude Code debarque sur le web en version Beta forfaits pro et max;https://avenuedelia.com/fr/actu/claude-code-debarque-sur-le-web-en-version-beta-forfaits-pro-max/;Avenue de l'IA;IA
41;21/10/2025;La version Desktop de Claude est desormais disponible sur Mac et Windows !;https://avenuedelia.com/fr/actu/la-version-desktop-de-claude-est-desormais-disponible-sur-mac-et-windows/;Avenue de l'IA;IA
40;16/10/2025;Visa lance Trusted Agent Protocol, un framework pour securiser le commerce agentique;https://avenuedelia.com/fr/actu/visa-lance-trusted-agent-protocol/;Avenue de l'IA;Autre
39;05/06/2025;Avenue du Coin devient Avenue de l'IA;https://avenuedelia.com/fr/actu/avenue-du-coin-devient-avenue-de-lia/;Avenue de l'IA;Autre
